Title: Grigr Challenge
Description: Grigr Challenge.
Author: Evgeny Grigoriev
Email: grigr@yandex.ru
Website: http://grigr.narod.ru/

           ###
          ##@##
         ##   ##
        ##  *  ##
       ##  ***  ##
      ##  * * *  ##
     ##  * * * *  ##
    ##  * * * * *  ##
   ##  * * *** * *  ##
  ##  * * * * * * *  ##
 ##  * * * * * * * *  ##
##  * * * * * * * * *  ##
#  * * * * *** * * * *  #
# * *** *** $ *** *** * #
#  * * * * *** * * * *  #
##  * * * * * * * * *  ##
 ##  * * * * * * * *  ##
  ##  * * * * * * *  ##
   ##  * * *** * *  ##
    ##  * * * * *  ##
     ##  * * * *  ##
      ##  * * *  ##
       ##  ***  ##
        ##  *  ##
         ##   ##
          ##.##
           ###
Title: 1

          #####
         ##   ##
        ##  *  ##
       ##  * *  ##
      ##  * * *  ##
     ##  * *** *  ##
    ##  * * * * *  ##
   ##  * * * * * *  ##
  ##  * * * * * * *  ##
 ##  * * * *** * * *  ##
##  * * * * * * * * *  #
#. *** *** *$* *** ***@#
##  * * * * * * * * *  #
 ##  * * * *** * * *  ##
  ##  * * * * * * *  ##
   ##  * * * * * *  ##
    ##  * * * * *  ##
     ##  * *** *  ##
      ##  * * *  ##
       ##  * *  ##
        ##  *  ##
         ##   ##
          #####
Title: 2

        #############
       ##           ##
      ##  * * * * *  ##
     ##  * * * * * *  ##
    ##  * * * * * * *  ##
   ##  * * * * * * * *  ##
  ##  * * * * * * * * *  ##
 ##  * * * * *** * * * *  ##
##  * * * * * * * * * * *  #
#. *** *** * *$* * *** ***@#
##  * * * * * * * * * * *  #
 ##  * * * * *** * * * *  ##
  ##  * * * * * * * * *  ##
   ##  * * * * * * * *  ##
    ##  * * * * * * *  ##
     ##  * * * * * *  ##
      ##  * * * * *  ##
       ##           ##
        #############
Title: 3

    ###########
   ##         ##
  ##  * * * *  ##
 ##  * * * * *  ##
##  * * * * * *  ##
#  ******$******@.#
##  * * * * * *  ##
 ##  * * * * *  ##
  ##  * * * *  ##
   ##         ##
    ###########
Title: 4

          #####
         ##   ##
        ##  *  ##
     ####  *$*  ####
    ##    * * *    ##
   ##  * * * * * *  ##
  ##  *** * * * ***  ##
 ##  * * * * * * * *  ##
##  * * * * * * * * *  ##
#  * * * * * * * * * *  #
# * * *** *.*.* *** * * #
#  * * * * * * * * * *  #
##  * * * * * * * * *  ##
 ##  * * * * * * * *  ##
  ##  *** * * * ***  ##
   ##  * * * * * *  ##
    ##    * * *    ##
     ####  *$*  ####
        ##  *  ##
         ## @ ##
          #####
Title: 5

